id,Band,Song,Comments from orgs,Status. Ready: 23,Vocal 1,Vocal 2,Vocal 3,Guitar 1,Guitar 2,Bass,Drums,Keyboard,Additional Tool 1,Additional Tool 2,PB,Next Song,JSON,Cover,Duration,Spotify
1,"Lady Gaga, Bradley Cooper",Shallow,,0.Ready!,@tianas_m,,,@mitya_remi,,,,,,,Нет,2,"{""tracks"":{""href"":""https://api.spotify.com/v1/search?offset=0&limit=1&query=Shallow%20Lady%20Gaga%2C%20Bradley%20Cooper&type=track"",""limit"":1,""next"":""https://api.spotify.com/v1/search?offset=1&limit=1&query=Shallow%20Lady%20Gaga%2C%20Bradley%20Cooper&type=track"",""offset"":0,""previous"":null,""total"":868,""items"":[{""album"":{""album_type"":""album"",""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms""},""href"":""https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms"",""id"":""1HY2Jd0NmPuamShAr6KMms"",""name"":""Lady Gaga"",""type"":""artist"",""uri"":""spotify:artist:1HY2Jd0NmPuamShAr6KMms""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4VIvfOurcf0vuLRxLkGnIG""},""href"":""https://api.spotify.com/v1/artists/4VIvfOurcf0vuLRxLkGnIG"",""id"":""4VIvfOurcf0vuLRxLkGnIG"",""name"":""Bradley Cooper"",""type"":""artist"",""uri"":""spotify:artist:4VIvfOurcf0vuLRxLkGnIG""}],""available_markets"":[""AR"",""AU"",""AT"",""BE"",""BO"",""BR"",""BG"",""CA"",""CL"",""CO"",""CR"",""CY"",""CZ"",""DK"",""DO"",""DE"",""EC"",""EE"",""SV"",""FI"",""FR"",""GR"",""GT"",""HN"",""HK"",""HU"",""IS"",""IE"",""IT"",""LV"",""LT"",""LU"",""MY"",""MT"",""MX"",""NL"",""NZ"",""NI"",""NO"",""PA"",""PY"",""PE"",""PH"",""PL"",""PT"",""SG"",""SK"",""ES"",""SE"",""CH"",""TW"",""TR"",""UY"",""US"",""GB"",""AD"",""LI"",""MC"",""ID"",""JP"",""TH"",""VN"",""RO"",""IL"",""ZA"",""SA"",""AE"",""BH"",""QA"",""OM"",""KW"",""EG"",""MA"",""DZ"",""TN"",""LB"",""JO"",""PS"",""IN"",""KZ"",""MD"",""UA"",""AL"",""BA"",""HR"",""ME"",""MK"",""RS"",""SI"",""KR"",""BD"",""PK"",""LK"",""GH"",""KE"",""NG"",""TZ"",""UG"",""AG"",""AM"",""BS"",""BB"",""BZ"",""BT"",""BW"",""CV"",""CW"",""DM"",""FJ"",""GM"",""GE"",""GD"",""GW"",""GY"",""HT"",""JM"",""KI"",""LS"",""LR"",""MW"",""MV"",""ML"",""MH"",""FM"",""NA"",""NR"",""NE"",""PW"",""PG"",""WS"",""SM"",""ST"",""SN"",""SC"",""SL"",""SB"",""KN"",""LC"",""VC"",""SR"",""TL"",""TO"",""TT"",""TV"",""VU"",""AZ"",""BI"",""KH"",""CM"",""TD"",""KM"",""GQ"",""SZ"",""GA"",""GN"",""KG"",""LA"",""MO"",""MR"",""MN"",""RW"",""TG"",""ZW"",""BJ"",""MG"",""MU"",""MZ"",""AO"",""CI"",""DJ"",""ZM"",""CD"",""CG"",""IQ"",""LY"",""TJ"",""VE"",""ET"",""XK""],""external_urls"":{""spotify"":""https://open.spotify.com/album/4sLtOBOzn4s3GDUv3c5oJD""},""href"":""https://api.spotify.com/v1/albums/4sLtOBOzn4s3GDUv3c5oJD"",""id"":""4sLtOBOzn4s3GDUv3c5oJD"",""images"":[{""height"":640,""width"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342""},{""height"":300,""width"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02e2d156fdc691f57900134342""},{""height"":64,""width"":64,""url"":""https://i.scdn.co/image/ab67616d00004851e2d156fdc691f57900134342""}],""is_playable"":true,""name"":""A Star Is Born Soundtrack"",""release_date"":""2018-10-05"",""release_date_precision"":""day"",""total_tracks"":34,""type"":""album"",""uri"":""spotify:album:4sLtOBOzn4s3GDUv3c5oJD""},""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms""},""href"":""https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms"",""id"":""1HY2Jd0NmPuamShAr6KMms"",""name"":""Lady Gaga"",""type"":""artist"",""uri"":""spotify:artist:1HY2Jd0NmPuamShAr6KMms""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4VIvfOurcf0vuLRxLkGnIG""},""href"":""https://api.spotify.com/v1/artists/4VIvfOurcf0vuLRxLkGnIG"",""id"":""4VIvfOurcf0vuLRxLkGnIG"",""name"":""Bradley Cooper"",""type"":""artist"",""uri"":""spotify:artist:4VIvfOurcf0vuLRxLkGnIG""}],""available_markets"":[""AR"",""AU"",""AT"",""BE"",""BO"",""BR"",""BG"",""CA"",""CL"",""CO"",""CR"",""CY"",""CZ"",""DK"",""DO"",""DE"",""EC"",""EE"",""SV"",""FI"",""FR"",""GR"",""GT"",""HN"",""HK"",""HU"",""IS"",""IE"",""IT"",""LV"",""LT"",""LU"",""MY"",""MT"",""MX"",""NL"",""NZ"",""NI"",""NO"",""PA"",""PY"",""PE"",""PH"",""PL"",""PT"",""SG"",""SK"",""ES"",""SE"",""CH"",""TW"",""TR"",""UY"",""US"",""GB"",""AD"",""LI"",""MC"",""ID"",""JP"",""TH"",""VN"",""RO"",""IL"",""ZA"",""SA"",""AE"",""BH"",""QA"",""OM"",""KW"",""EG"",""MA"",""DZ"",""TN"",""LB"",""JO"",""PS"",""IN"",""KZ"",""MD"",""UA"",""AL"",""BA"",""HR"",""ME"",""MK"",""RS"",""SI"",""KR"",""BD"",""PK"",""LK"",""GH"",""KE"",""NG"",""TZ"",""UG"",""AG"",""AM"",""BS"",""BB"",""BZ"",""BT"",""BW"",""CV"",""CW"",""DM"",""FJ"",""GM"",""GE"",""GD"",""GW"",""GY"",""HT"",""JM"",""KI"",""LS"",""LR"",""MW"",""MV"",""ML"",""MH"",""FM"",""NA"",""NR"",""NE"",""PW"",""PG"",""WS"",""SM"",""ST"",""SN"",""SC"",""SL"",""SB"",""KN"",""LC"",""VC"",""SR"",""TL"",""TO"",""TT"",""TV"",""VU"",""AZ"",""BI"",""KH"",""CM"",""TD"",""KM"",""GQ"",""SZ"",""GA"",""GN"",""KG"",""LA"",""MO"",""MR"",""MN"",""RW"",""TG"",""ZW"",""BJ"",""MG"",""MU"",""MZ"",""AO"",""CI"",""DJ"",""ZM"",""CD"",""CG"",""IQ"",""LY"",""TJ"",""VE"",""ET"",""XK""],""disc_number"":1,""duration_ms"":215733,""explicit"":false,""external_ids"":{""isrc"":""USUM71813192""},""external_urls"":{""spotify"":""https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B""},""href"":""https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B"",""id"":""2VxeLyX666F8uXCJ0dZF8B"",""is_local"":false,""is_playable"":true,""name"":""Shallow"",""popularity"":88,""preview_url"":null,""track_number"":12,""type"":""track"",""uri"":""spotify:track:2VxeLyX666F8uXCJ0dZF8B""}]}}",https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,215733,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
2,Arctic Monkeys,R U Mine?,,0.Ready!,@chris_tina_f,,,@valeramik,@mikhailbulaev,@chris_tina_f,@amoe_ba0,,,,Нет,3,"{""tracks"":{""href"":""https://api.spotify.com/v1/search?offset=0&limit=1&query=R%20U%20Mine%3F%20Arctic%20Monkeys&type=track"",""limit"":1,""next"":""https://api.spotify.com/v1/search?offset=1&limit=1&query=R%20U%20Mine%3F%20Arctic%20Monkeys&type=track"",""offset"":0,""previous"":null,""total"":1000,""items"":[{""album"":{""album_type"":""album"",""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH""},""href"":""https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH"",""id"":""7Ln80lUS6He07XvHI8qqHH"",""name"":""Arctic Monkeys"",""type"":""artist"",""uri"":""spotify:artist:7Ln80lUS6He07XvHI8qqHH""}],""available_markets"":[""AR"",""AU"",""AT"",""BE"",""BO"",""BR"",""BG"",""CA"",""CL"",""CO"",""CR"",""CY"",""CZ"",""DK"",""DO"",""DE"",""EC"",""EE"",""SV"",""FI"",""FR"",""GR"",""GT"",""HN"",""HK"",""HU"",""IS"",""IE"",""IT"",""LV"",""LT"",""LU"",""MY"",""MT"",""MX"",""NL"",""NZ"",""NI"",""NO"",""PA"",""PY"",""PE"",""PH"",""PL"",""PT"",""SG"",""SK"",""ES"",""SE"",""CH"",""TW"",""TR"",""UY"",""US"",""GB"",""AD"",""LI"",""MC"",""ID"",""JP"",""TH"",""VN"",""RO"",""IL"",""ZA"",""SA"",""AE"",""BH"",""QA"",""OM"",""KW"",""EG"",""MA"",""DZ"",""TN"",""LB"",""JO"",""PS"",""IN"",""KZ"",""MD"",""UA"",""AL"",""BA"",""HR"",""ME"",""MK"",""RS"",""SI"",""KR"",""BD"",""PK"",""LK"",""GH"",""KE"",""NG"",""TZ"",""UG"",""AG"",""AM"",""BS"",""BB"",""BZ"",""BT"",""BW"",""BF"",""CV"",""CW"",""DM"",""FJ"",""GM"",""GE"",""GD"",""GW"",""GY"",""HT"",""JM"",""KI"",""LS"",""LR"",""MW"",""MV"",""ML"",""MH"",""FM"",""NA"",""NR"",""NE"",""PW"",""PG"",""PR"",""WS"",""SM"",""ST"",""SN"",""SC"",""SL"",""SB"",""KN"",""LC"",""VC"",""SR"",""TL"",""TO"",""TT"",""TV"",""VU"",""AZ"",""BN"",""BI"",""KH"",""CM"",""TD"",""KM"",""GQ"",""SZ"",""GA"",""GN"",""KG"",""LA"",""MO"",""MR"",""MN"",""NP"",""RW"",""TG"",""UZ"",""ZW"",""BJ"",""MG"",""MU"",""MZ"",""AO"",""CI"",""DJ"",""ZM"",""CD"",""CG"",""IQ"",""LY"",""TJ"",""VE"",""ET"",""XK""],""external_urls"":{""spotify"":""https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu""},""href"":""https://api.spotify.com/v1/albums/78bpIziExqiI9qztvNFlQu"",""id"":""78bpIziExqiI9qztvNFlQu"",""images"":[{""height"":640,""width"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163""},{""height"":300,""width"":300,""url"":""https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163""},{""height"":64,""width"":64,""url"":""https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163""}],""is_playable"":true,""name"":""AM"",""release_date"":""2013-09-09"",""release_date_precision"":""day"",""total_tracks"":12,""type"":""album"",""uri"":""spotify:album:78bpIziExqiI9qztvNFlQu""},""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH""},""href"":""https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH"",""id"":""7Ln80lUS6He07XvHI8qqHH"",""name"":""Arctic Monkeys"",""type"":""artist"",""uri"":""spotify:artist:7Ln80lUS6He07XvHI8qqHH""}],""available_markets"":[""AR"",""AU"",""AT"",""BE"",""BO"",""BR"",""BG"",""CA"",""CL"",""CO"",""CR"",""CY"",""CZ"",""DK"",""DO"",""DE"",""EC"",""EE"",""SV"",""FI"",""FR"",""GR"",""GT"",""HN"",""HK"",""HU"",""IS"",""IE"",""IT"",""LV"",""LT"",""LU"",""MY"",""MT"",""MX"",""NL"",""NZ"",""NI"",""NO"",""PA"",""PY"",""PE"",""PH"",""PL"",""PT"",""SG"",""SK"",""ES"",""SE"",""CH"",""TW"",""TR"",""UY"",""US"",""GB"",""AD"",""LI"",""MC"",""ID"",""JP"",""TH"",""VN"",""RO"",""IL"",""ZA"",""SA"",""AE"",""BH"",""QA"",""OM"",""KW"",""EG"",""MA"",""DZ"",""TN"",""LB"",""JO"",""PS"",""IN"",""KZ"",""MD"",""UA"",""AL"",""BA"",""HR"",""ME"",""MK"",""RS"",""SI"",""KR"",""BD"",""PK"",""LK"",""GH"",""KE"",""NG"",""TZ"",""UG"",""AG"",""AM"",""BS"",""BB"",""BZ"",""BT"",""BW"",""BF"",""CV"",""CW"",""DM"",""FJ"",""GM"",""GE"",""GD"",""GW"",""GY"",""HT"",""JM"",""KI"",""LS"",""LR"",""MW"",""MV"",""ML"",""MH"",""FM"",""NA"",""NR"",""NE"",""PW"",""PG"",""PR"",""WS"",""SM"",""ST"",""SN"",""SC"",""SL"",""SB"",""KN"",""LC"",""VC"",""SR"",""TL"",""TO"",""TT"",""TV"",""VU"",""AZ"",""BN"",""BI"",""KH"",""CM"",""TD"",""KM"",""GQ"",""SZ"",""GA"",""GN"",""KG"",""LA"",""MO"",""MR"",""MN"",""NP"",""RW"",""TG"",""UZ"",""ZW"",""BJ"",""MG"",""MU"",""MZ"",""AO"",""CI"",""DJ"",""ZM"",""CD"",""CG"",""IQ"",""LY"",""TJ"",""VE"",""ET"",""XK""],""disc_number"":1,""duration_ms"":201726,""explicit"":false,""external_ids"":{""isrc"":""GBCEL1300363""},""external_urls"":{""spotify"":""https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE""},""href"":""https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE"",""id"":""2AT8iROs4FQueDv2c8q2KE"",""is_local"":false,""is_playable"":true,""name"":""R U Mine?"",""popularity"":84,""preview_url"":null,""track_number"":2,""type"":""track"",""uri"":""spotify:track:2AT8iROs4FQueDv2c8q2KE""}]}}",https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,201726,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE
3,Muse,New Born,,0.Ready!,@lena_pena28,@simon_porebrik,,@simon_porebrik,,@joenaes,@aboychuk,@simon_porebrik,,,Нет,4,"{""tracks"":{""href"":""https://api.spotify.com/v1/search?offset=0&limit=1&query=New%20Born%20Muse&type=track"",""limit"":1,""next"":""https://api.spotify.com/v1/search?offset=1&limit=1&query=New%20Born%20Muse&type=track"",""offset"":0,""previous"":null,""total"":1000,""items"":[{""album"":{""album_type"":""album"",""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI""},""href"":""https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI"",""id"":""12Chz98pHFMPJEknJQMWvI"",""name"":""Muse"",""type"":""artist"",""uri"":""spotify:artist:12Chz98pHFMPJEknJQMWvI""}],""available_markets"":[""CA"",""US""],""external_urls"":{""spotify"":""https://open.spotify.com/album/1AP6uGYHdakRgwuWQsP5pK""},""href"":""https://api.spotify.com/v1/albums/1AP6uGYHdakRgwuWQsP5pK"",""id"":""1AP6uGYHdakRgwuWQsP5pK"",""images"":[{""height"":640,""width"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273a9e6856251d6c4b13167924a""},{""height"":300,""width"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02a9e6856251d6c4b13167924a""},{""height"":64,""width"":64,""url"":""https://i.scdn.co/image/ab67616d00004851a9e6856251d6c4b13167924a""}],""is_playable"":true,""name"":""Origin of Symmetry"",""release_date"":""2001"",""release_date_precision"":""year"",""total_tracks"":12,""type"":""album"",""uri"":""spotify:album:1AP6uGYHdakRgwuWQsP5pK""},""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI""},""href"":""https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI"",""id"":""12Chz98pHFMPJEknJQMWvI"",""name"":""Muse"",""type"":""artist"",""uri"":""spotify:artist:12Chz98pHFMPJEknJQMWvI""}],""available_markets"":[""CA"",""US""],""disc_number"":1,""duration_ms"":363266,""explicit"":false,""external_ids"":{""isrc"":""GBCVT0100009""},""external_urls"":{""spotify"":""https://open.spotify.com/track/6KR9NaynH8bF9w727wKQBL""},""href"":""https://api.spotify.com/v1/tracks/6KR9NaynH8bF9w727wKQBL"",""id"":""6KR9NaynH8bF9w727wKQBL"",""is_local"":false,""is_playable"":true,""name"":""New Born"",""popularity"":48,""preview_url"":null,""track_number"":1,""type"":""track"",""uri"":""spotify:track:6KR9NaynH8bF9w727wKQBL""}]}}",https://i.scdn.co/image/ab67616d0000b273a9e6856251d6c4b13167924a,363266,https://open.spotify.com/track/6KR9NaynH8bF9w727wKQBL
4,Ранетки,Мы ранетки,,0.Ready!,@tinastiy_a,,,@simon_porebrik,,@alexome_e,@disentinel,,,,Нет,5,"{""tracks"":{""href"":""https://api.spotify.com/v1/search?offset=0&limit=1&query=%D0%9C%D1%8B%20%D1%80%D0%B0%D0%BD%D0%B5%D1%82%D0%BA%D0%B8%20%D0%A0%D0%B0%D0%BD%D0%B5%D1%82%D0%BA%D0%B8&type=track"",""limit"":1,""next"":""https://api.spotify.com/v1/search?offset=1&limit=1&query=%D0%9C%D1%8B%20%D1%80%D0%B0%D0%BD%D0%B5%D1%82%D0%BA%D0%B8%20%D0%A0%D0%B0%D0%BD%D0%B5%D1%82%D0%BA%D0%B8&type=track"",""offset"":0,""previous"":null,""total"":818,""items"":[{""album"":{""album_type"":""album"",""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/3B8mGrQqFROCKEBo4II0Jf""},""href"":""https://api.spotify.com/v1/artists/3B8mGrQqFROCKEBo4II0Jf"",""id"":""3B8mGrQqFROCKEBo4II0Jf"",""name"":""Ранетки"",""type"":""artist"",""uri"":""spotify:artist:3B8mGrQqFROCKEBo4II0Jf""}],""available_markets"":[""AR"",""AU"",""AT"",""BE"",""BO"",""BR"",""BG"",""CA"",""CL"",""CO"",""CR"",""CY"",""CZ"",""DK"",""DO"",""DE"",""EC"",""EE"",""SV"",""FI"",""FR"",""GR"",""GT"",""HN"",""HK"",""HU"",""IS"",""IE"",""IT"",""LV"",""LT"",""LU"",""MY"",""MT"",""MX"",""NL"",""NZ"",""NI"",""NO"",""PA"",""PY"",""PE"",""PH"",""PL"",""PT"",""SG"",""SK"",""ES"",""SE"",""CH"",""TW"",""TR"",""UY"",""US"",""GB"",""AD"",""LI"",""MC"",""ID"",""JP"",""TH"",""VN"",""RO"",""IL"",""ZA"",""SA"",""AE"",""BH"",""QA"",""OM"",""KW"",""EG"",""MA"",""DZ"",""TN"",""LB"",""JO"",""PS"",""IN"",""BY"",""KZ"",""MD"",""UA"",""AL"",""BA"",""HR"",""ME"",""MK"",""RS"",""SI"",""KR"",""BD"",""PK"",""LK"",""GH"",""KE"",""NG"",""TZ"",""UG"",""AG"",""AM"",""BS"",""BB"",""BZ"",""BT"",""BW"",""BF"",""CV"",""CW"",""DM"",""FJ"",""GM"",""GE"",""GD"",""GW"",""GY"",""HT"",""JM"",""KI"",""LS"",""LR"",""MW"",""MV"",""ML"",""MH"",""FM"",""NA"",""NR"",""NE"",""PW"",""PG"",""PR"",""WS"",""SM"",""ST"",""SN"",""SC"",""SL"",""SB"",""KN"",""LC"",""VC"",""SR"",""TL"",""TO"",""TT"",""TV"",""VU"",""AZ"",""BN"",""BI"",""KH"",""CM"",""TD"",""KM"",""GQ"",""SZ"",""GA"",""GN"",""KG"",""LA"",""MO"",""MR"",""MN"",""NP"",""RW"",""TG"",""UZ"",""ZW"",""BJ"",""MG"",""MU"",""MZ"",""AO"",""CI"",""DJ"",""ZM"",""CD"",""CG"",""IQ"",""LY"",""TJ"",""VE"",""ET"",""XK""],""external_urls"":{""spotify"":""https://open.spotify.com/album/6ZUkrtzWLJsnub51AWimFH""},""href"":""https://api.spotify.com/v1/albums/6ZUkrtzWLJsnub51AWimFH"",""id"":""6ZUkrtzWLJsnub51AWimFH"",""images"":[{""height"":640,""width"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2737c4a5d8a5e6afedf68c089e5""},{""height"":300,""width"":300,""url"":""https://i.scdn.co/image/ab67616d00001e027c4a5d8a5e6afedf68c089e5""},{""height"":64,""width"":64,""url"":""https://i.scdn.co/image/ab67616d000048517c4a5d8a5e6afedf68c089e5""}],""is_playable"":true,""name"":""Ранетки"",""release_date"":""2006-01-01"",""release_date_precision"":""day"",""total_tracks"":15,""type"":""album"",""uri"":""spotify:album:6ZUkrtzWLJsnub51AWimFH""},""artists"":[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/3B8mGrQqFROCKEBo4II0Jf""},""href"":""https://api.spotify.com/v1/artists/3B8mGrQqFROCKEBo4II0Jf"",""id"":""3B8mGrQqFROCKEBo4II0Jf"",""name"":""Ранетки"",""type"":""artist"",""uri"":""spotify:artist:3B8mGrQqFROCKEBo4II0Jf""}],""available_markets"":[""AR"",""AU"",""AT"",""BE"",""BO"",""BR"",""BG"",""CA"",""CL"",""CO"",""CR"",""CY"",""CZ"",""DK"",""DO"",""DE"",""EC"",""EE"",""SV"",""FI"",""FR"",""GR"",""GT"",""HN"",""HK"",""HU"",""IS"",""IE"",""IT"",""LV"",""LT"",""LU"",""MY"",""MT"",""MX"",""NL"",""NZ"",""NI"",""NO"",""PA"",""PY"",""PE"",""PH"",""PL"",""PT"",""SG"",""SK"",""ES"",""SE"",""CH"",""TW"",""TR"",""UY"",""US"",""GB"",""AD"",""LI"",""MC"",""ID"",""JP"",""TH"",""VN"",""RO"",""IL"",""ZA"",""SA"",""AE"",""BH"",""QA"",""OM"",""KW"",""EG"",""MA"",""DZ"",""TN"",""LB"",""JO"",""PS"",""IN"",""BY"",""KZ"",""MD"",""UA"",""AL"",""BA"",""HR"",""ME"",""MK"",""RS"",""SI"",""KR"",""BD"",""PK"",""LK"",""GH"",""KE"",""NG"",""TZ"",""UG"",""AG"",""AM"",""BS"",""BB"",""BZ"",""BT"",""BW"",""BF"",""CV"",""CW"",""DM"",""FJ"",""GM"",""GE"",""GD"",""GW"",""GY"",""HT"",""JM"",""KI"",""LS"",""LR"",""MW"",""MV"",""ML"",""MH"",""FM"",""NA"",""NR"",""NE"",""PW"",""PG"",""PR"",""WS"",""SM"",""ST"",""SN"",""SC"",""SL"",""SB"",""KN"",""LC"",""VC"",""SR"",""TL"",""TO"",""TT"",""TV"",""VU"",""AZ"",""BN"",""BI"",""KH"",""CM"",""TD"",""KM"",""GQ"",""SZ"",""GA"",""GN"",""KG"",""LA"",""MO"",""MR"",""MN"",""NP"",""RW"",""TG"",""UZ"",""ZW"",""BJ"",""MG"",""MU"",""MZ"",""AO"",""CI"",""DJ"",""ZM"",""CD"",""CG"",""IQ"",""LY"",""TJ"",""VE"",""ET"",""XK""],""disc_number"":1,""duration_ms"":201613,""explicit"":false,""external_ids"":{""isrc"":""RUA1D2044912""},""external_urls"":{""spotify"":""https://open.spotify.com/track/0aYf7MjetRz9gKOVZ1wIMY""},""href"":""https://api.spotify.com/v1/tracks/0aYf7MjetRz9gKOVZ1wIMY"",""id"":""0aYf7MjetRz9gKOVZ1wIMY"",""is_local"":false,""is_playable"":true,""name"":""Мы Ранетки"",""popularity"":31,""preview_url"":null,""track_number"":1,""type"":""track"",""uri"":""spotify:track:0aYf7MjetRz9gKOVZ1wIMY""}]}}",https://i.scdn.co/image/ab67616d0000b2737c4a5d8a5e6afedf68c089e5,201613,https://open.spotify.com/track/0aYf7MjetRz9gKOVZ1wIMY
